addressRegion,latitude,longitude,price,property-beds,property-baths,property-sqft,Acreage,Basement,Bath,Exterior,Exterior Features,Features,Fireplace,Heating,Partial Bathroom,Property Type,Roof,Sewer,Square Footage,Subdivision,Type,Parking,Flooring,Parking Features,Fireplace Features,MLS,has_fireplace,has_garage,dist_to_toronto_km,region_median_price
7,45.4141927,-79.1224443,515900.0,0.0,2.0,,0.6,382,1.0,2226,2226,2378,281,328,1.0,8,112,38,1415.0,1115,8,2159,1576,2159,494,,1,0,191.87357959818036,775000.0
1,50.9765854,-118.1731491,839000.0,3.0,2.0,891.0,0.6,382,0.0,2226,2226,1392,281,362,0.0,1,112,21,891.0,1115,1,1214,552,1214,494,10334677,1,1,2993.4609786694878,749945.0
1,49.4718704,-116.770195,1150000.0,3.0,2.0,1881.0,0.32,382,0.0,2226,2226,403,281,369,0.0,8,112,55,1881.0,1115,8,394,1576,394,494,10335620,1,1,2895.4157008259044,749945.0
1,49.8252302,-119.6032534,149000.0,2.0,1.0,912.0,0.6,382,0.0,53,53,276,281,563,0.0,8,62,21,912.0,1115,8,2159,411,2159,494,10335525,1,0,3097.672750478887,749945.0
1,49.8218597,-119.4801428,1298000.0,5.0,4.0,4374.0,0.69,382,1.0,2226,2226,311,155,294,1.0,8,112,21,4374.0,1115,8,302,1576,302,193,10335485,1,1,3088.871176300519,749945.0
0,50.56340955,-111.9103749,285000.0,4.0,2.0,,0.14,54,0.0,56,56,1203,281,317,0.0,8,112,38,1415.0,1490,8,1069,118,1069,494,A2194024,1,0,2551.5666356170145,459700.0
1,49.2216734,-122.5966374,759900.0,3.0,2.0,1254.0,0.6,382,1.0,2226,2226,1017,281,79,1.0,1,112,38,1254.0,731,1,907,1576,907,494,R2967157,1,1,3318.299761553198,749945.0
0,50.919422,-113.8956088,749800.0,4.0,3.0,2047.0,0.07,192,1.0,336,336,730,63,263,1.0,8,5,38,2047.0,933,8,640,146,640,75,A2194964,1,1,2693.8030241857896,459700.0
0,53.030235,-112.844933,385000.0,5.0,3.0,1330.0,0.13,104,1.0,1105,1105,572,281,263,1.0,8,5,38,1330.0,1620,8,505,47,505,494,A2194970,1,1,2649.3316667723993,459700.0
0,51.2776423,-114.0239114,499000.0,3.0,3.0,1496.0,0.06,114,1.0,946,946,802,281,433,1.0,3,5,38,1496.0,1032,3,712,8,712,494,A2194956,1,1,2705.5952347062757,459700.0
0,51.2638711,-113.9924156,659900.0,4.0,4.0,,0.08,54,1.0,987,987,730,95,240,1.0,8,5,38,1415.0,978,8,640,85,640,135,A2194963,1,1,2703.291929542167,459700.0
0,51.1380993,-113.9379131,739900.0,6.0,4.0,1916.0,0.08,181,1.0,943,943,732,102,240,1.0,8,5,38,1916.0,1366,8,642,21,642,149,A2194973,1,1,2698.4485670878603,459700.0
0,53.516165,-113.708396,558880.0,3.0,3.0,,0.6,114,1.0,811,811,756,281,285,1.0,8,10,38,1415.0,1115,8,666,1576,666,494,E4421751,1,1,2714.9297467135852,459700.0
0,53.62538,-113.485256,210000.0,2.0,2.0,,0.6,382,1.0,978,978,1094,281,225,1.0,1,112,38,1415.0,1115,1,976,1576,976,494,E4421750,1,0,2702.501024485664,459700.0
0,51.0520856,-114.0775133,610000.0,2.0,2.0,,0.6,382,1.0,280,280,1345,281,263,1.0,1,112,38,1415.0,760,1,1194,651,1194,494,A2194565,1,0,2707.495262793996,459700.0
0,53.938803,-113.363697,739900.0,5.0,4.0,,1.56,104,1.0,850,850,1032,155,285,1.0,8,112,4,1415.0,1115,8,2159,138,2159,494,E4421749,1,0,2701.0187125290413,459700.0
0,53.938984,-113.363109,180000.0,3.0,0.0,,1.36,382,1.0,875,875,1113,281,328,1.0,10,112,38,1415.0,1115,10,2159,1576,2159,494,E4421748,1,0,2700.9847425478215,459700.0
0,50.9861331,-113.9990061,759000.0,5.0,4.0,,0.02,112,1.0,76,76,830,63,229,1.0,3,5,38,1415.0,1182,3,740,61,740,75,A2194744,1,1,2701.5216025418445,459700.0
0,53.617648,-113.370976,539900.0,4.0,3.0,,0.6,114,1.0,520,520,730,155,285,1.0,3,10,38,1415.0,1115,3,640,1576,640,494,E4421747,1,1,2694.9307529106004,459700.0
0,53.640349,-115.576269,66000.0,3.0,0.0,,0.2,382,1.0,1024,1024,1304,281,328,1.0,10,112,40,1415.0,1115,10,2159,1576,2159,494,E4421746,1,0,2838.8972057258975,459700.0
0,53.57653,-113.641228,1600000.0,1.0,0.0,,0.6,114,1.0,1007,1007,1091,281,285,1.0,8,10,38,1415.0,1115,8,973,1576,973,494,E4421745,1,1,2711.693978883971,459700.0
0,53.5317757,-113.2731636,449900.0,3.0,3.0,,0.6,102,1.0,257,257,921,281,285,1.0,8,10,38,1415.0,1115,8,811,1576,811,494,E4421744,1,0,2686.8860831022184,459700.0
0,53.621258,-113.51461,399900.0,3.0,3.0,,0.6,102,1.0,604,604,730,155,291,1.0,8,10,38,1415.0,1115,8,640,1576,640,494,E4421728,1,1,2704.326415329802,459700.0
0,53.613428,-113.445779,319900.0,3.0,2.0,,0.6,102,1.0,973,973,730,281,285,1.0,8,10,38,1415.0,1115,8,640,1576,640,494,E4421727,1,1,2699.704111310327,459700.0
0,53.426005,-113.60948,639800.0,4.0,3.0,,0.6,114,1.0,730,730,730,155,285,1.0,8,10,38,1415.0,1115,8,640,1576,640,494,E4421726,1,1,2706.800880905298,459700.0
1,49.346396,-124.4445,549000.0,2.0,2.0,1122.0,0.6,382,1.0,834,834,1190,281,1,1.0,1,112,60,1122.0,1115,1,1058,490,1058,494,988168,1,0,3449.9019500387253,749945.0
0,53.529606,-113.620262,649900.0,4.0,3.0,,0.6,114,1.0,608,608,730,281,291,1.0,8,10,38,1415.0,1115,8,640,1576,640,494,E4421743,1,1,2709.4395078278976,459700.0
0,51.04981195,-114.0556276,475000.0,2.0,2.0,,0.6,382,1.0,304,304,1233,281,1,1.0,1,112,38,1415.0,702,1,1099,411,1099,494,A2194895,1,0,2705.9517562567457,459700.0
10,52.1188826,-106.6058988,499000.0,4.0,3.0,1167.0,0.16,85,1.0,1030,1030,81,281,263,1.0,8,10,38,1167.0,868,8,81,1576,81,494,SK996010,1,0,2216.0553561952593,245000.0
